,ProductName,Platform,ListPrice,MSProduct,Multiplayer,Rating,RatingSystem,ReleaseDate,MSStoreLink
164,Human Fall Flat,PC,14.99,false,true,Everyone,ESRB,2019-12-12,https://www.microsoft.com/en-us/store/p/human-fall-flat/9MT4HS1CP72W
165,Human Fall Flat,Xbox One,14.99,false,true,Everyone,ESRB,2017-05-12,https://www.microsoft.com/en-us/store/p/human-fall-flat/BSMZH25V6V46
166,HyperDot,Both,19.99,false,true,Everyone,ESRB,2020-01-31,https://www.microsoft.com/en-us/store/p/hyperdot/9NVVJ8TBD7KP
167,Hypnospace Outlaw,Both,14.99,false,false,Teen,ESRB,2020-08-27,https://www.microsoft.com/en-us/store/p/hypnospace-outlaw/9PM3NVB3PXG0
168,Indivisible,Xbox One,39.99,false,false,Teen,ESRB,2019-10-08,https://www.microsoft.com/en-us/store/p/indivisible/9NBFQMP69N1S
169,Indivisible,PC,39.99,false,false,Teen,ESRB,2020-02-26,https://www.microsoft.com/en-us/store/p/indivisible/9N3KCLT53VDZ
170,Infinifactory,PC,24.99,false,false,Teen,ESRB,2019-12-19,https://www.microsoft.com/en-us/store/p/infinifactory/9NHGM9CS3XLF
171,It Lurks Below,Both,19.99,false,false,Teen,ESRB,2020-08-06,https://www.microsoft.com/en-us/store/p/it-lurks-below/9PFW68JLS81F
172,Jetpac Refuelled,Xbox One,4.99,true,false,Everyone,ESRB,2006-10-24,https://www.microsoft.com/en-us/store/p/jetpac-refuelled/BRRVN5198461
173,Journey to the Savage Planet,Xbox One,29.99,false,false,Teen,ESRB,2020-01-28,https://www.microsoft.com/en-us/store/p/journey-to-the-savage-planet/BZ3CVPFPDSHK
174,Joy Ride Turbo,Xbox One,9.99,true,false,Everyone,ESRB,2012-05-23,https://www.microsoft.com/en-us/store/p/joy-ride-turbo/C1ZWH2BZ9TSF
175,JUMP FORCE,Xbox One,59.99,false,true,Teen,ESRB,2019-02-15,https://www.xbox.com/en-us/games/jump-force
176,Kameo,Xbox One,9.99,true,false,Teen,ESRB,2009-08-11,https://www.microsoft.com/en-us/store/p/kameo/BV83SM3191S5
177,Killer Instinct: Definitive Edition,Xbox One,39.99,true,true,Mature 17+,ESRB,2016-09-20,https://www.microsoft.com/en-us/store/p/killer-instinct-definitive-edition/BVQ3FL3201P8
178,Killer Instinct: Definitive Edition,PC,39.99,true,true,Mature 17+,ESRB,2016-12-09,https://www.microsoft.com/en-us/store/p/killer-instinct-definitive-edition/9NBLGGH51BMC
179,KINGDOM HEARTS - HD 1.5+2.5 ReMIX -,Xbox One,49.99,false,false,Everyone 10+,ESRB,2020-02-18,https://www.microsoft.com/en-us/store/p/kingdom-hearts---hd-1525-remix--/9NHDF1Q6HGMH
180,KINGDOM HEARTS HD 2.8 Final Chapter Prologue,Xbox One,59.99,false,false,Everyone 10+,ESRB,2020-02-18,https://www.microsoft.com/en-us/store/p/kingdom-hearts-hd-28-final-chapter-prologue/9NB80T1XC43B
181,KINGDOM HEARTS Ⅲ,Xbox One,59.99,false,false,Everyone 10+,ESRB,2019-01-29,https://www.xbox.com/en-us/games/kingdom-hearts-iii
182,Kona,Xbox One,14.99,false,false,Teen,ESRB,2017-03-17,https://www.microsoft.com/en-us/store/p/kona/BXDSG249D6Q2
183,LEGO Star Wars III,Xbox One,19.99,true,false,Everyone 10+,ESRB,2011-03-22,https://www.microsoft.com/en-us/store/p/lego-star-wars-iii/C27JSQ4XKP9X
184,Levelhead,Both,19.99,false,false,Everyone,ESRB,2020-04-30,https://www.microsoft.com/en-us/store/p/levelhead/9PJZBB8FWK8H
185,Lonely Mountains: Downhill,Both,19.99,false,false,Everyone 10+,ESRB,2019-10-23,https://www.microsoft.com/en-us/store/p/lonely-mountains-downhill/9MV6MCVLT8GR
186,Machinarium,PC,14.99,false,false,Everyone 10+,ESRB,2020-04-16,https://www.microsoft.com/en-us/store/p/machinarium/9N83GKZLC8BK
187,MARVEL VS. CAPCOM: INFINITE,Both,39.99,false,true,Teen,ESRB,2017-09-19,https://www.microsoft.com/en-us/store/p/marvel-vs-capcom-infinite/9PGSCB1X2P7G
